  PERMNO        date             ba        vwretd        ewretd        sprtrn
   19561    19691231      -0.096386     -0.019681     -0.066178     -0.018655
   19561    19700130      -0.178667     -0.073254     -0.038830     -0.076472
   19561    19700227       0.086957      0.056706      0.040195      0.052693
   19561    19700331      -0.090000     -0.004729     -0.023712      0.001453
   19561    19700430      -0.131868     -0.105318     -0.161963     -0.090483
   19561    19700529      -0.070886     -0.064346     -0.090524     -0.060967
   19561    19700630      -0.315068     -0.051075     -0.073904     -0.050033
   19561    19700731       0.088000      0.074169      0.059258      0.073295
   19561    19700831       0.194444      0.050036      0.061617      0.044459
   19561    19700930       0.054264      0.047536      0.126098      0.032998
   19561    19701030      -0.141176     -0.018208     -0.058604     -0.011400
   19561    19701130       0.008621      0.050448      0.003021      0.047447
   19561    19701231      -0.025641      0.060723      0.081324      0.056766
   19561    19710129       0.375439      0.052030      0.136096      0.040477
   19561    19710226       0.089744      0.016913      0.047910      0.009074
   19561    19710331      -0.023529      0.044778      0.056603      0.036796
   19561    19710430       0.131325      0.033332      0.027087      0.036288
   19561    19710528      -0.016043     -0.036409     -0.049435     -0.041558
   19561    19710630      -0.119565      0.003119     -0.017240      0.000703
   19561    19710730      -0.198765     -0.040283     -0.053634     -0.041324
   19561    19710831      -0.023256      0.042511      0.041159      0.036095
   19561    19710930      -0.047619     -0.005016     -0.004653     -0.006968
   19561    19711029       0.031667     -0.040682     -0.057468     -0.041794
   19561    19711130      -0.016260     -0.001262     -0.034150     -0.002547
   19561    19711231       0.231405      0.091257      0.117128      0.086179
   19561    19720131       0.362416      0.028383      0.103892      0.018121
   19561    19720229      -0.040394      0.031349      0.041809      0.025303
   19561    19720330      -0.015464      0.008722     -0.000951      0.005912
   19561    19720428      -0.058639      0.005505      0.001231      0.004384
   19561    19720531       0.011173      0.016375     -0.018121      0.017275
   19561    19720630      -0.077348     -0.020896     -0.033775     -0.021821
   19561    19720731       0.011976     -0.004254     -0.029488      0.002333
   19561    19720831       0.081657      0.035966      0.012252      0.034454
   19561    19720929       0.010989     -0.007671     -0.030725     -0.004861
   19561    19721031      -0.048913      0.008676     -0.013767      0.009317
   19561    19721130       0.153143      0.049764      0.051096      0.045617
   19561    19721229      -0.004975      0.011243     -0.019873      0.011828
   19561    19730131      -0.065000     -0.027455     -0.026133     -0.017111
   19561    19730228      -0.070588     -0.044368     -0.072836     -0.037490
   19561    19730330      -0.046243     -0.007851     -0.028981     -0.001433
   19561    19730430      -0.127273     -0.051759     -0.070620     -0.040800
   19561    19730531       0.054167     -0.024503     -0.083582     -0.018884
   19561    19730629      -0.092715     -0.008647     -0.037745     -0.006575
   19561    19730731       0.131387      0.056954      0.105922      0.037982
   19561    19730831      -0.143226     -0.029648     -0.044417     -0.036685
   19561    19730928       0.166667      0.053937      0.072995      0.040096
   19561    19731031      -0.006494     -0.000427      0.000303     -0.001291
   19561    19731130      -0.243137     -0.120703     -0.175252     -0.113861
   19561    19731231      -0.139130      0.011425     -0.041764      0.016569
   19561    19740131       0.151515      0.004408      0.132374     -0.010046
   19561    19740228       0.080702      0.002352      0.008623     -0.003624
   19561    19740329      -0.073770     -0.023365      0.008379     -0.023280
   19561    19740430       0.035398     -0.045957     -0.055537     -0.039051
   19561    19740531       0.155556     -0.041982     -0.072545     -0.033551
   19561    19740628       0.052239     -0.022942     -0.033483     -0.014665
   19561    19740731      -0.026950     -0.070879     -0.051915     -0.077791
   19561    19740830       0.022059     -0.087756     -0.085788     -0.090279
   19561    19740930      -0.071942     -0.109718     -0.079025     -0.119335
   19561    19741031       0.116279      0.165585      0.088877      0.163047
   19561    19741129       0.079167     -0.041047     -0.051395     -0.053180
   19561    19741231      -0.176471     -0.027005     -0.080744     -0.020151
   19561    19750131       0.079365      0.141600      0.299260      0.122812
   19561    19750228       0.100000      0.058411      0.053918      0.059886
   19561    19750331       0.114865      0.030191      0.081497      0.021694
   19561    19750430       0.224242      0.046497      0.031093      0.047265
   19561    19750530       0.166337      0.055140      0.072876      0.044101
   19561    19750630       0.025641      0.051473      0.071792      0.044323
   19561    19750731      -0.091667     -0.060385     -0.008960     -0.067654
   19561    19750829       0.039450     -0.023557     -0.048118     -0.021070
   19561    19750930      -0.057778     -0.038010     -0.038867     -0.034645
   19561    19751031       0.037736      0.055857      0.014720      0.061643
   19561    19751128      -0.103636      0.031223      0.016796      0.024708
   19561    19751231       0.005155     -0.010998     -0.000599     -0.011508
   19561    19760130       0.133333      0.126011      0.190037      0.118306
   19561    19760227      -0.049774      0.007314      0.106291     -0.011402
   19561    19760331       0.033654      0.026799      0.018109      0.030689
   19561    19760430       0.125581     -0.010389     -0.003810     -0.010995
   19561    19760528       0.210744     -0.009369     -0.019680     -0.014364
   19561    19760630       0.120275      0.044487      0.026510      0.040926
   19561    19760730      -0.024540     -0.006157      0.002236     -0.008055
   19561    19760831       0.022013     -0.001435     -0.016673     -0.005124
   19561    19760930       0.136223      0.024484      0.016990      0.022641
   19561    19761029      -0.106267     -0.020373     -0.022586     -0.022235
   19561    19761130       0.088415      0.005364      0.026686     -0.007775
   19561    19761231       0.014164      0.061591      0.102410      0.052498
   19561    19770131      -0.145251     -0.036337      0.036903     -0.050530
   19561    19770228       0.107190     -0.015760      0.004400     -0.021660
   19561    19770331       0.044643     -0.009246      0.010654     -0.014025
   19561    19770429       0.099715      0.004952      0.016931      0.000203
   19561    19770531       0.056477     -0.010785      0.002870     -0.023568
   19561    19770630       0.143210      0.051367      0.051503      0.045360
   19561    19770729      -0.023758     -0.012810      0.012362     -0.016222
   19561    19770831      -0.024336     -0.013352     -0.001233     -0.021042
   19561    19770930      -0.093822      0.001574      0.014968     -0.002480
   19561    19771031       0.060606     -0.039280     -0.023190     -0.043406
   19561    19771130       0.085714      0.045432      0.070872      0.026966
   19561    19771230      -0.004425      0.008218      0.021081      0.002847
   19561    19780131      -0.062222     -0.055202     -0.011152     -0.061514
   19561    19780228       0.215166     -0.009275      0.026008     -0.024762
   19561    19780331       0.079365      0.034013      0.067839      0.024931
   19561    19780428       0.180147      0.082841      0.079317      0.085416
   19561    19780531       0.228660      0.023238      0.067620      0.004234
   19561    19780630       0.079082     -0.010751      0.010292     -0.017585
   19561    19780731       0.219858      0.056749      0.052394      0.053910
   19561    19780831       0.099612      0.042352      0.093545      0.025924
   19561    19780929      -0.095575     -0.006891      0.006200     -0.007261
   19561    19781031      -0.084149     -0.110997     -0.177280     -0.091574
   19561    19781130       0.184615      0.033792      0.038205      0.016640
   19561    19781229       0.041971      0.017710      0.014346      0.014889
   19561    19790131       0.056042      0.049489      0.093661      0.039746
   19561    19790228      -0.164179     -0.026766     -0.016269     -0.036526
   19561    19790330       0.021956      0.065618      0.084167      0.055152
   19561    19790430      -0.015625      0.008522      0.028814      0.001673
   19561    19790531      -0.077381     -0.013576     -0.006845     -0.026336
   19561    19790629       0.051948      0.046850      0.054663      0.038656
   19561    19790731       0.064815      0.014991      0.021366      0.008746
   19561    19790831       0.118841      0.064728      0.075616      0.053078
   19561    19790928       0.020833      0.001428     -0.001172      0.000000
   19561    19791031      -0.127551     -0.072660     -0.097915     -0.068606
   19561    19791130       0.090058      0.063603      0.065295      0.042624
   19561    19791231       0.118785      0.028212      0.067485      0.016767
   19561    19800131       0.293827      0.065607      0.105129      0.057625
   19561    19800229      -0.073282      0.001015     -0.006301     -0.004380
   19561    19800331      -0.116183     -0.120224     -0.165043     -0.101795
   19561    19800430       0.028169      0.052288      0.053461      0.041140
   19561    19800530      -0.050000      0.060090      0.071249      0.046571
   19561    19800630       0.018182      0.037714      0.046176      0.026969
   19561    19800731       0.092857      0.069438      0.089279      0.065039
   19561    19800829       0.001307      0.023553      0.063984      0.005835
   19561    19800930       0.013158      0.029498      0.052459      0.025168
   19561    19801031      -0.064935      0.020093      0.047525      0.016021
   19561    19801128       0.076389      0.104951      0.069205      0.102377
   19561    19801231       0.153595     -0.034409     -0.032416     -0.033874
   19561    19810130      -0.099150     -0.040085      0.005615     -0.045742
   19561    19810227      -0.110692      0.015521      0.002150      0.013277
   19561    19810331       0.003571      0.046184      0.072674      0.036033
   19561    19810430      -0.032028     -0.011268      0.027885     -0.023456
   19561    19810529      -0.033824      0.013551      0.027187     -0.001657
   19561    19810630      -0.057692     -0.010242     -0.013194     -0.010408
   19561    19810731      -0.097959     -0.003080     -0.019980     -0.002210
   19561    19810831      -0.154751     -0.056279     -0.071906     -0.062099
