    DATE        PS_LEVEL        PS_INNOV          PS_VWF
19730330    -0.030718751    -0.012678664    -0.012799924
19730430    -0.040650607    -0.008497112     0.023191603
19730531     -0.11566844    -0.062849449     -0.00294238
19730629    -0.199889288    -0.162490025    -0.032431208
19730731    -0.096582013     -0.00763705     0.002582805
19730831    -0.097435637    -0.027317925     0.015779524
19730928    -0.121543296     0.000062499     0.017045213
19731031    -0.053238019     0.024630533     -0.04302758
19731130    -0.300163745    -0.237052393    -0.026586581
19731231     -0.13413745    -0.079491038     -0.01694581
19740131    -0.162189172    -0.068703389     0.101318032
19740228    -0.120028221    -0.053865844     0.039670348
19740329    -0.001286667     0.114879631     0.043549255
19740430    -0.041920825     0.001640139     0.022131511
19740531    -0.101753842    -0.081793241     0.061045419
19740628    -0.069363139    -0.062811995    -0.007755686
19740731    -0.231121871    -0.134516876     -0.00460426
19740830    -0.101842067    -0.061775255    -0.031422272
19740930    -0.110298281    -0.066253654     0.023200311
19741031    -0.085646798     0.007975275    -0.073523006
19741129    -0.083564545     0.034339308    -0.025351189
19741231    -0.104666031     -0.04176506     0.019079861
19750131    -0.113622803    -0.075148714      0.10827995
19750228    -0.075727911     0.019469967     0.037053744
19750331    -0.130484163     0.006302276     0.060094361
19750430     0.000079718     0.035202274     0.001324092
19750530    -0.066735432    -0.011016874    -0.028674225
19750630     0.023377436     0.026189538     -0.01416778
19750731    -0.059402694    -0.025490349    -0.007415209
19750829    -0.127523121    -0.119103389    -0.010687388
19750930    -0.089978793    -0.051156271    -0.015319912
19751031    -0.064972768     0.026319736     0.089329308
19751128     0.007609221     0.028655348      0.03543367
19751231    -0.024581841     -0.01930962    -0.000583791
19760130    -0.060278465    -0.032111696      0.01890703
19760227    -0.018513659     0.052957328    -0.041403091
19760331    -0.018564972     0.009462904    -0.015386407
19760430    -0.030321213    -0.048008621    -0.021474812
19760528       -0.090128    -0.085706761    -0.039147794
19760630    -0.064945927     -0.02113804    -0.006805325
19760730    -0.091403456    -0.052794091    -0.028325385
19760831     -0.01440666     0.033269515     0.017907043
19760930    -0.037756972     0.018899413     -0.01583438
19761029    -0.087291914    -0.042593129     0.006962479
19761130    -0.081945316    -0.020635843    -0.024312188
19761231    -0.025285674     0.056288424    -0.011403867
19770131    -0.062479771    -0.044147314    -0.031086581
19770228    -0.000435197     0.038375755    -0.010684413
19770331    -0.056292351     0.033174212     0.011027483
19770429     -0.01072424    -0.008392954     -0.02967022
19770531     -0.03332807    -0.012112681     0.017666677
19770630    -0.008645491     0.018875227     0.020515988
19770729    -0.048158005     -0.01203174     0.000975073
19770831      -0.0475812     0.007188949     0.031103583
19770930    -0.047210173    -0.018200657     0.011882371
19771031    -0.033288915    -0.000179261    -0.011411602
19771130    -0.012713391     0.030171511      0.00407468
19771230     0.019317685     0.035871477    -0.005269147
19780131    -0.042218779    -0.005024024     0.004983924
19780228    -0.019297252      0.01522822    -0.001847633
19780331    -0.010491407     0.004764291     0.016226279
19780428      -0.0078029      0.02116107     0.034488873
19780531     0.018013515      0.02372112     0.011680358
19780630     0.010747892      0.01576851     0.008734463
19780731    -0.043481563    -0.033352604     0.027692649
19780831     0.020908268     0.039376482    -0.001240214
19780929    -0.005565764     -0.00986879    -0.026145042
19781031    -0.108156643     -0.09898388     0.044542259
19781130    -0.075025642    -0.028825119    -0.035905328
19781229    -0.033950702     0.037807028     0.001777031
19790131    -0.014406977      0.02595626    -0.009022415
19790228     -0.03296287     0.009225255    -0.028603079
19790330    -0.043782043     0.023520962    -0.006183671
19790430     0.004782129     0.056584501     0.016637425
19790531    -0.080995007    -0.045028159    -0.022508061
19790629    -0.011874814      0.02592174    -0.016475668
19790731     0.022647808     0.062383585     -0.01648824
19790831     0.013034643     0.038113603     0.015177019
19790928    -0.074245626    -0.061117253    -0.012960512
19791031    -0.154441152    -0.100923993     0.001138188
19791130    -0.038538297     0.009583467    -0.067958751
19791231    -0.009221364     0.025712973    -0.016127017
19800131    -0.059578401    -0.017562528     0.001054261
19800229    -0.097828472    -0.040399276     0.018180036
19800331    -0.141922484    -0.084876555     0.029730835
19800430    -0.051168402    -0.028206438    -0.010910207
19800530     0.032840945     0.080249381     -0.00825512
19800630     -0.01566578     0.003861466      0.01098003
19800731    -0.035191893     -0.01404788    -0.008456362
19800829     0.007234324     0.054961602      0.01233731
19800930    -0.047583092    -0.015772402     0.015195348
19801031    -0.012388416     0.037711719     0.026683642
19801128    -0.024295208     0.004485238     0.028119265
19801231    -0.056394536    -0.011016868     0.027843388
19810130     -0.02295443     0.005897036     0.039945278
19810227    -0.007594046     0.002595838     0.000607384
19810331    -0.021365687     0.015852878     0.017587569
19810430    -0.028108019     0.012274199    -0.013760098
19810529     0.007373008     0.030759344     -0.02082504
19810630     0.001685314     0.032690238     0.057371684
19810731    -0.017633546     0.013150779    -0.015741844
19810831    -0.076556277    -0.041299864    -0.004098361
19810930    -0.152823526    -0.118003934     0.094349929
19811030     -0.04560095     0.000343163     -0.02065542
19811130    -0.031551085    -0.012081236     0.062938763
19811231    -0.023609596     0.028981183     -0.00073682
19820129    -0.069967468    -0.056851791    -0.021258595
19820226    -0.122290156    -0.078928818    -0.012945841
19820331     -0.03094834     0.011427764     0.041993687
19820430     0.004820028     0.045158823    -0.023657884
19820528    -0.002518959    -0.006096911      0.02927402
19820630    -0.012278994     0.022998325     0.049721082
19820730     0.012591081     0.019551581    -0.015766171
19820831    -0.057557817    -0.034309964     -0.00530724
19820930    -0.025629974     0.027145158     0.043580276
19821029    -0.041616836     -0.00481894    -0.040512303
19821130    -0.004942483     0.029970254     0.008891345
19821231     0.000640026     0.031333649    -0.030748144
19830131    -0.029697305     0.003917109    -0.054064161
19830228     0.008433443     0.041503575    -0.029267462
19830331    -0.047792845    -0.024850501     0.040678171
19830429    -0.004349244      0.02813658      0.03713077
19830531    -0.079088809    -0.045527886      0.02173967
19830630    -0.000570436     0.053611437     0.001836545
19830729    -0.048124189    -0.025153722     0.048761634
19830831    -0.040696121    -0.006180009     0.043154981
19830930    -0.023979936     0.027122851     0.010923883
19831031     0.035982672     0.064029301      0.05497324
19831130     0.014443808      0.05220176    -0.074602995
19831230    -0.032573069     0.017556985     0.049736461
19840131    -0.025235768    -0.002855756     0.066812216
19840229    -0.042118509     -0.02527069     0.007606859
19840330    -0.009820677     0.032766348     0.004704511
19840430    -0.084359871    -0.045834317     0.008343428
19840531     0.006224684     0.047648479     0.023845812
19840629    -0.016115448     0.026085164    -0.004010062
19840731    -0.025851919     0.014836799     0.017499924
19840831     0.002582936     0.035334795    -0.027393686
19840928    -0.017693605     0.013699449     0.025093085
19841031    -0.031042883    -0.010617173    -0.005784124
19841130    -0.002790881      0.00843142     0.015994611
19841231     -0.03456874      0.00092434    -0.004252622
19850131    -0.008422875     0.019922709    -0.017424123
19850228    -0.014163286     0.007974161      0.02875116
19850329     0.007210328     0.009642757     0.034245951
19850430     0.009185502     0.031912315     0.036045467
19850531    -0.000123605      0.02516852    -0.008501757
19850628    -0.006800566     0.000256005     0.004777644
19850731     -0.01838076     0.027335486    -0.011524574
19850830     0.028969314     0.039068371     0.026035883
19850930    -0.022411428    -0.007979068     0.010845024
19851031    -0.016608705     -0.00826984      0.04918229
19851129    -0.002016276     0.028123865     0.005556098
19851231    -0.011356579     0.029993654    -0.020206337
19860131    -0.065521789    -0.030947207      0.02031659
19860228    -0.009211296     0.022465063     0.000691061
19860331     0.007951281     0.045876612     0.036738438
19860430     0.029378758     0.026164028    -0.002657752
19860530     0.004684973     0.022580348     0.021982486
19860630    -0.069847688    -0.061602113     0.050100696
19860731    -0.004261169     0.022123523    -0.012500613
19860829    -0.026201335     0.014031562    -0.022007992
19860930    -0.005347399    -0.023258405      0.04516968
19861031     0.040146295     0.066349323     0.017969277
19861128     0.016574595     0.024025979    -0.029502528
