  PERMNO        date            ge         vwretd        ewretd        sprtrn
   12060    19891229       0.047903      0.018295     -0.012375      0.021417
   12060    19900131      -0.034884     -0.070115     -0.046408     -0.068817
   12060    19900228      -0.000482      0.014901      0.015434      0.008539
   12060    19900330       0.040486      0.024140      0.021315      0.024255
   12060    19900430      -0.003891     -0.028286     -0.028117     -0.026887
   12060    19900531       0.083516      0.088936      0.045675      0.091989
   12060    19900629       0.005445     -0.004196      0.005359     -0.008886
   12060    19900731       0.034296     -0.009405     -0.025732     -0.005223
   12060    19900831      -0.134380     -0.091896     -0.108911     -0.094314
   12060    19900928      -0.113387     -0.053843     -0.080468     -0.051184
   12060    19901031      -0.045872     -0.012504     -0.057155     -0.006698
   12060    19901130       0.052885      0.065744      0.035468      0.059934
   12060    19901231       0.057260      0.029513     -0.004526      0.024828
   12060    19910131       0.115468      0.049078      0.084175      0.041518
   12060    19910228       0.070469      0.075847      0.133898      0.067281
   12060    19910328       0.023897      0.028923      0.078293      0.022203
   12060    19910430       0.016158      0.003322      0.031962      0.000346
   12060    19910531       0.099081      0.040732      0.031385      0.038577
   12060    19910628      -0.042071     -0.044029     -0.031773     -0.047893
   12060    19910731      -0.010135      0.046795      0.034202      0.044859
   12060    19910830       0.022184      0.026819      0.027507      0.019649
   12060    19910930      -0.066644     -0.010975      0.008130     -0.019144
   12060    19911031      -0.005405      0.017789      0.024639      0.011860
   12060    19911129      -0.061594     -0.037275     -0.023735     -0.043928
   12060    19911231       0.189961      0.106778      0.035353      0.111588
   12060    19920131      -0.016340     -0.001182      0.149970     -0.019900
   12060    19920228       0.044850      0.013354      0.052124      0.009565
   12060    19920331      -0.029571     -0.023700     -0.014169     -0.021832
   12060    19920430       0.011551      0.013419     -0.033262      0.027893
   12060    19920529      -0.003263      0.006439      0.005678      0.000964
   12060    19920630       0.025205     -0.019287     -0.039215     -0.017359
   12060    19920731      -0.016077      0.039900      0.027617      0.039374
   12060    19920831      -0.032680     -0.020820     -0.023900     -0.023998
   12060    19920930       0.065405      0.012447      0.011050      0.009106
   12060    19921030      -0.019169      0.010986      0.016224      0.002106
   12060    19921130       0.084691      0.040193      0.066686      0.030262
   12060    19921231       0.034595      0.017768      0.035677      0.010108
   12060    19930129       0.007310      0.012643      0.067612      0.007046
   12060    19930226      -0.023222      0.005402     -0.007198      0.010484
   12060    19930331       0.066924      0.025116      0.031465      0.018697
   12060    19930430       0.016830     -0.025400     -0.011112     -0.025417
   12060    19930528       0.023448      0.029598      0.038740      0.022717
   12060    19930630       0.039137      0.005440      0.013419      0.000755
   12060    19930730       0.028721     -0.000795      0.013719     -0.005327
   12060    19930831      -0.002538      0.039479      0.039698      0.034432
   12060    19930930      -0.017761      0.000641      0.025507     -0.009988
   12060    19931029       0.011734      0.018064      0.040518      0.019393
   12060    19931130       0.014175     -0.017606     -0.024467     -0.012911
   12060    19931231       0.073393      0.019513      0.016190      0.010091
   12060    19940131       0.027414      0.031466      0.049166      0.032501
   12060    19940228      -0.022042     -0.024224     -0.009952     -0.030045
   12060    19940331      -0.044176     -0.045795     -0.045962     -0.045746
   12060    19940429      -0.047500      0.009478     -0.011728      0.011531
   12060    19940531       0.044619      0.009360     -0.000831      0.012419
   12060    19940630      -0.055578     -0.027909     -0.028182     -0.026812
   12060    19940729       0.080429      0.030633      0.015778      0.031467
   12060    19940831      -0.012407      0.042597      0.036756      0.037643
   12060    19940930      -0.025427     -0.018363      0.004865     -0.026898
   12060    19941031       0.015584      0.014520     -0.003305      0.020834
   12060    19941130      -0.058824     -0.037219     -0.040741     -0.039505
   12060    19941230       0.117609      0.012609     -0.013424      0.012299
   12060    19950131       0.009804      0.020399      0.027860      0.024278
   12060    19950228       0.063107      0.039615      0.028369      0.036074
   12060    19950331      -0.006210      0.027041      0.019518      0.027329
   12060    19950428       0.037037      0.025048      0.026976      0.027960
   12060    19950531       0.035714      0.034007      0.020270      0.036312
   12060    19950630      -0.020948      0.031173      0.049917      0.021279
   12060    19950731       0.046563      0.040783      0.054708      0.031776
   12060    19950831      -0.002119      0.009305      0.032043     -0.000320
   12060    19950929       0.089766      0.036362      0.026400      0.040098
   12060    19951031      -0.007843     -0.011317     -0.041473     -0.004979
   12060    19951130       0.061265      0.042708      0.016659      0.041049
   12060    19951229       0.079479      0.015191      0.008928      0.017444
   12060    19960131       0.065972      0.028144      0.034657      0.032617
   12060    19960229      -0.016287      0.016310      0.032305      0.006934
   12060    19960329       0.037550      0.010927      0.024086      0.007917
   12060    19960430      -0.008026      0.025511      0.058049      0.013431
   12060    19960531       0.071197      0.026800      0.062615      0.022853
   12060    19960628       0.048338     -0.008298     -0.032167      0.002257
   12060    19960731      -0.046571     -0.053819     -0.079602     -0.045748
   12060    19960830       0.010638      0.032463      0.045634      0.018814
   12060    19960930       0.100271      0.053019      0.028753      0.054173
   12060    19961031       0.063187      0.013739     -0.020842      0.026131
   12060    19961129       0.074935      0.065569      0.024696      0.073376
   12060    19961231      -0.044279     -0.011388     -0.002604     -0.021505
   12060    19970131       0.046776      0.053473      0.063831      0.061317
   12060    19970228      -0.006039     -0.001122     -0.010299      0.005928
   12060    19970331      -0.030182     -0.044868     -0.049224     -0.042614
   12060    19970430       0.118388      0.042373     -0.021596      0.058406
   12060    19970530       0.087838      0.071624      0.085194      0.058577
