Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,36.189999,36.740002,36.119999,36.160000,36.160000,32013600
2017-04-04,36.119999,36.380001,35.990002,36.279999,36.279999,18918000
2017-04-05,36.430000,36.759998,36.169998,36.220001,36.220001,22455500
2017-04-06,36.130001,36.279999,36.029999,36.029999,36.029999,20198200
2017-04-07,36.070000,36.320000,35.990002,36.029999,36.029999,15689500
2017-04-10,36.020000,36.090000,35.610001,35.799999,35.799999,19973700
2017-04-11,35.770000,35.790001,35.209999,35.740002,35.740002,22711800
2017-04-12,35.869999,36.009998,35.500000,35.630001,35.630001,19289800
2017-04-13,35.549999,35.759998,35.250000,35.250000,35.250000,15764000
2017-04-17,35.439999,35.590000,35.330002,35.480000,35.480000,12560700
2017-04-18,35.430000,35.810001,35.299999,35.770000,35.770000,12321100
2017-04-19,35.970001,36.220001,35.889999,35.910000,35.910000,16594600
2017-04-20,36.180000,36.270000,35.860001,36.180000,36.180000,22968300
2017-04-21,36.200001,36.419998,35.849998,36.320000,36.320000,20390500
2017-04-24,36.669998,36.849998,36.459999,36.750000,36.750000,26305800
2017-04-25,36.770000,37.000000,36.660000,36.869999,36.869999,22066800
2017-04-26,36.779999,37.230000,36.779999,36.930000,36.930000,27241000
2017-04-27,36.869999,37.500000,36.779999,37.430000,37.430000,39890000
2017-04-28,36.099998,36.490002,35.880001,36.150002,36.150002,56769300
