Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,65.809998,65.940002,65.190002,65.550003,65.550003,20400900
2017-04-04,65.389999,65.809998,65.279999,65.730003,65.730003,12997400
2017-04-05,66.300003,66.349998,65.440002,65.559998,65.559998,21448600
2017-04-06,65.599998,66.059998,65.480003,65.730003,65.730003,18103500
2017-04-07,65.849998,65.959999,65.440002,65.680000,65.680000,14108500
2017-04-10,65.610001,65.820000,65.360001,65.529999,65.529999,17952700
2017-04-11,65.599998,65.610001,64.849998,65.480003,65.480003,18791500
2017-04-12,65.419998,65.510002,65.110001,65.230003,65.230003,17108500
2017-04-13,65.290001,65.860001,64.949997,64.949997,64.949997,17896500
2017-04-17,65.040001,65.489998,65.010002,65.480003,65.480003,16689300
2017-04-18,65.330002,65.709999,65.160004,65.389999,65.389999,15155600
2017-04-19,65.650002,65.750000,64.889999,65.040001,65.040001,26992800
2017-04-20,65.459999,65.750000,65.139999,65.500000,65.500000,22299500
2017-04-21,65.669998,66.699997,65.449997,66.400002,66.400002,32522600
2017-04-24,67.480003,67.660004,67.099998,67.529999,67.529999,29770000
2017-04-25,67.900002,68.040001,67.599998,67.919998,67.919998,30242700
2017-04-26,68.080002,68.309998,67.620003,67.830002,67.830002,26190800
2017-04-27,68.150002,68.379997,67.580002,68.269997,68.269997,34971000
2017-04-28,68.910004,69.139999,67.690002,68.459999,68.459999,39548800
